Bin,Start,End,Range,Value,Percentage,"Accumulated Value","Accumulated Percentage"
0,0,4.59546e-05,"[0, 4.59546e-05)",24,0.827586,24,0.827586
1,4.59546e-05,9.19092e-05,"[4.59546e-05, 9.19092e-05)",0,0,24,0.827586
2,9.19092e-05,0.000137864,"[9.19092e-05, 0.000137864)",0,0,24,0.827586
3,0.000137864,0.000183818,"[0.000137864, 0.000183818)",1,0.0344828,25,0.862069
4,0.000183818,0.000229773,"[0.000183818, 0.000229773)",0,0,25,0.862069
5,0.000229773,0.000275728,"[0.000229773, 0.000275728)",0,0,25,0.862069
6,0.000275728,0.000321682,"[0.000275728, 0.000321682)",0,0,25,0.862069
7,0.000321682,0.000367637,"[0.000321682, 0.000367637)",0,0,25,0.862069
8,0.000367637,0.000413592,"[0.000367637, 0.000413592)",0,0,25,0.862069
9,0.000413592,0.000459546,"[0.000413592, 0.000459546)",0,0,25,0.862069
10,0.000459546,0.000505501,"[0.000459546, 0.000505501)",0,0,25,0.862069
11,0.000505501,0.000551455,"[0.000505501, 0.000551455)",2,0.0689655,27,0.931034
12,0.000551455,0.00059741,"[0.000551455, 0.00059741)",0,0,27,0.931034
13,0.00059741,0.000643365,"[0.00059741, 0.000643365)",0,0,27,0.931034
14,0.000643365,0.000689319,"[0.000643365, 0.000689319)",1,0.0344828,28,0.965517
15,0.000689319,0.000735274,"[0.000689319, 0.000735274)",0,0,28,0.965517
16,0.000735274,0.000781228,"[0.000735274, 0.000781228)",0,0,28,0.965517
17,0.000781228,0.000827183,"[0.000781228, 0.000827183)",0,0,28,0.965517
18,0.000827183,0.000873138,"[0.000827183, 0.000873138)",0,0,28,0.965517
19,0.000873138,0.000919092,"[0.000873138, 0.000919092)",0,0,28,0.965517
20,0.000919092,0.000965047,"[0.000919092, 0.000965047)",0,0,28,0.965517
21,0.000965047,0.001011,"[0.000965047, 0.001011)",0,0,28,0.965517
22,0.001011,0.00105696,"[0.001011, 0.00105696)",0,0,28,0.965517
23,0.00105696,0.00110291,"[0.00105696, 0.00110291)",0,0,28,0.965517
24,0.00110291,0.00114887,"[0.00110291, 0.00114887)",1,0.0344828,29,1
