sample_ID	filtered_reads_in_sample	kingdom	phylum	tclass	order	family	genus	species	subspecies	read_count	RPKMF	avg_read_identity	assembly_list
25-000493-54A2-SAD01-01-01-EC01-03-01.p2113_noHost_removal	23304172	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__SEN virus	t__SEN virus	173	1.93321965411744	0.9584513156983258	set:KM593802
25-000493-54A2-SAD01-01-01-EC01-03-01.p2113_noHost_removal	23304172	k__Viruses	p__Cressdnaviricota	c__Arfiviricetes	o__Cirlivirales	f__Circoviridae	g__unclassified_Circoviridae	s__Human respiratory circovirus-like 1	t__Human respiratory circovirus-like 1	41	0.5762665024722196	0.9523501857535135	acc:MK674279.1
25-000493-54A2-SAD01-01-01-EC01-03-01.p2113_noHost_removal	23304172	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6b	t__Human betaherpesvirus 6B	581	0.15378781751891332	0.99335291446555	GCF_000846365.1
25-000493-54A2-SAD01-01-01-EC01-03-01.p2113_noHost_removal	23304172	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta7	t__Human betaherpesvirus 7	4902	1.3741089754277627	0.9978072291511598	GCF_000848125.1
25-000493-54A2-SAD01-01-01-EC01-03-01.p2113_noHost_removal	23304172	k__Viruses	p__Negarnaviricota	c__Insthoviricetes	o__Articulavirales	f__Orthomyxoviridae	g__Alphainfluenzavirus	s__Alphainfluenzavirus influenzae	t__H3N2	21	0.06703810458120238	0.9690949227373074	GCA_052872965.1
25-000493-54A2-SAD01-01-01-EC01-03-01.p2113_noHost_removal	23304172	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Gammapapillomavirus	s__Gammapapillomavirus 10	t__Human papillomavirus 133	22	0.1283007574468443	0.9837283498589083	set:GU117633
25-000493-54A2-SAD01-01-01-EC01-03-01.p2113_noHost_removal	23304172	k__Viruses	p__Artverviricota	c__Revtraviricetes	o__Ortervirales	f__Retroviridae	g__Gammaretrovirus	s__Gammaretrovirus porConc	t__Porcine type-C oncovirus	6	0.03189601450447835	0.9735099337748344	set:AF356697
25-000519-54A2-DPD01-08-01-FA03-01-74.p2113_noHost_removal	29842686	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Alphatorquevirus	s__unclassified_Alphatorquevirus	t__unclassified_Alphatorquevirus	16	0.1749819743062842	0.850993377483444	GCF_002818245.1
25-000519-54A2-DPD01-08-01-FA03-01-74.p2113_noHost_removal	29842686	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Betatorquevirus	s__TTV-like mini virus	t__TTV-like mini virus	10	0.11343618171852884	0.9857142857142858	acc:MN771257.1
25-000519-54A2-DPD01-08-01-FA03-01-74.p2113_noHost_removal	29842686	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Betatorquevirus	s__TTV-like mini virus	t__unclassified_TTV-like mini virus	3	0.03413485373139568	0.9099756690997567	acc:MN770204.1
