Scientific Name,Common Names
Erythroparvovirus primate1,parvovirus B19
Torque teno virus,Torque teno virus
Roseolovirus humanbeta6b,Human Herpesvirus 6B;HHV-6B
Lymphocryptovirus humangamma4,Epstein Barr virus;EBV;Human Herpesvirus 4;HHV-4
Alphapolyomavirus quintihominis,Merkel cell polyomavirus
Dependoparvovirus primate1,Adeno-associated virus 2;AAV2
TTV−like mini virus,TTMV
Roseolovirus humanbeta6a,Human herpesvirus 6A;HHV-6A
Adeno−associated virus;AAV
Simplexvirus humanalpha1,Herpes simplex virus 1;HSV-1
