species,n_pos_donor,rho,p.value,p.adj
Roseolovirus humanbeta6a,9,-0.696310623822791,0.0371833810842836,0.371833810842836
TTV-like mini virus,10,-0.481716272322092,0.158605749080206,0.535357255468037
Erythroparvovirus primate1,67,0.173369234718603,0.160607176640411,0.535357255468037
Dependoparvovirus primate1,8,0.359287878573978,0.382064677364986,0.797706429990187
Lymphocryptovirus humangamma4,21,-0.184836145017443,0.422491215817957,0.797706429990187
Roseolovirus humanbeta6b,34,-0.12572908601112,0.478623857994112,0.797706429990187
Simplexvirus humanalpha1,6,0.314285714285714,0.563888888888889,0.805555555555556
Alphapolyomavirus quintihominis,12,-0.112479595015135,0.727811292484812,0.876972907064333
Adeno-associated virus,9,-0.0840365806816018,0.82980640515636,0.876972907064333
Torque teno virus,34,0.0275757406181782,0.876972907064333,0.876972907064333
