species,n_pos_donor,rho,p.value,p.adj
Erythroparvovirus primate1,57,-0.263270936235827,0.047852608706256,0.430673478356304
Roseolovirus humanbeta6b,33,0.179861038161757,0.316545460452651,0.845823353171558
Adeno-associated virus,6,0.441367414752375,0.380939210477189,0.845823353171558
Dependoparvovirus primate1,7,-0.37424059428256,0.408209427110337,0.845823353171558
Simplexvirus humanalpha1,6,-0.370328039909021,0.469901862873088,0.845823353171558
Alphapolyomavirus quintihominis,10,0.147709789175199,0.683842812890721,0.94136006583366
Torque teno virus,28,-0.0676894821978528,0.732168940092847,0.94136006583366
Lymphocryptovirus humangamma4,20,0.0354499117485095,0.882047080307986,0.965173388036599
TTV-like mini virus,9,-0.0170996392014192,0.965173388036599,0.965173388036599
Roseolovirus humanbeta6a,3,NA,NA,NA
