species,AD_OR,AD_p,age_OR_per_yr,age_p,braak_OR_per_stage,braak_p,AD_p.adj,age_p.adj,braak_p.adj
Torque teno virus,0.424097052482378,0.0652985531564029,1.007342419397,0.763360921807237,0.8194152307945,0.108041523963752,0.587210244840467,0.970295160694811,0.519284360794123
TTV-like mini virus,0.36788332411073,0.148470301286546,0.960136988593302,0.267048329519678,0.652971399905337,0.0200094638559974,0.587210244840467,0.667620823799196,0.200094638559974
Dependoparvovirus primate1,0.377373993831207,0.224621826864317,0.942812700979447,0.136049580647504,0.757212395580635,0.155785308238237,0.587210244840467,0.62626316033689,0.519284360794123
Adeno-associated virus,3.52135433757459,0.278482411463076,1.07048892089043,0.106655977508553,0.938111051010709,0.770905005051352,0.587210244840467,0.62626316033689,0.856561116723725
Erythroparvovirus primate1,1.67166535529163,0.348584901987207,1.03347577883733,0.187878948101067,1.15757221888732,0.236819993477417,0.587210244840467,0.62626316033689,0.55083794830744
Simplexvirus humanalpha1,0.386582393879024,0.35232614690428,1.00266244216466,0.956147386410886,1.09802147868981,0.698236561902463,0.587210244840467,0.970295160694811,0.856561116723725
Lymphocryptovirus humangamma4,0.773964472244222,0.600987781373175,0.998413171521684,0.954922714053084,1.01681198733711,0.903841083585527,0.85855397339025,0.970295160694811,0.903841083585527
Alphapolyomavirus quintihominis,0.795584199589457,0.740934784833936,1.03550539160085,0.33679217829551,0.875948729131096,0.439969531624007,0.92616848104242,0.67358435659102,0.62852790232001
Roseolovirus humanbeta6a,1.47122353469986,1,1.03109391978644,0.452628383527182,0.744401820312604,0.301591555961911,1,0.75438063921197,0.55083794830744
Roseolovirus humanbeta6b,0.97048584373952,1,0.99910022160293,0.970295160694811,1.12783332985934,0.330502768984464,1,0.970295160694811,0.55083794830744
