species,n_pos,p.value,p.adj
Erythroparvovirus primate1,126,0.0194443085936971,0.194443085936971
Roseolovirus humanbeta6a,11,0.0463258818903819,0.231629409451909
Dependoparvovirus primate1,15,0.181824901805992,0.538527120014029
Lymphocryptovirus humangamma4,28,0.228443178002256,0.538527120014029
Roseolovirus humanbeta6b,42,0.328335956668136,0.538527120014029
Simplexvirus humanalpha1,10,0.331529724762201,0.538527120014029
Torque teno virus,61,0.37696898400982,0.538527120014029
Adeno-associated virus,11,0.53845700967368,0.673071262092099
Alphapolyomavirus quintihominis,16,0.638078710388271,0.708976344875857
TTV-like mini virus,14,0.719753756611601,0.719753756611601
