Accession	Assembly	Organism_Name	Species	Genus	Genotype	Isolate	Segment	GenBank_Title	Length	Nuc_Completeness	Geo_Location	Tissue_Specimen_Source	Collection_Date	Release_Date	Molecule_type
PX890980.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	2	mrr022_GBR_400		Human parvovirus B19 isolate mrr022_GBR_400, complete genome	5588	complete	United Kingdom		2016	2026-02-09	ssDNA(+/-)
PQ605424.1		Erythroparvovirus primate1	Erythroparvovirus primate1	Erythroparvovirus		JN_09		Erythroparvovirus primate1 isolate JN_09, complete genome	5236	complete	China: Jinan		2019	2025-12-31	ssDNA(+/-)
PX246262.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		L242618		Human parvovirus B19 isolate L242618, complete genome	5112	complete	China	oronasopharynx	2024-10-15	2025-09-07	ssDNA(+/-)
PX246263.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		L250283		Human parvovirus B19 isolate L250283, complete genome	5110	complete	China	oronasopharynx	2025-01-06	2025-09-07	ssDNA(+/-)
PX246264.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		L251262		Human parvovirus B19 isolate L251262, complete genome	5113	complete	China	oronasopharynx	2025-02-25	2025-09-07	ssDNA(+/-)
PX246265.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		L251282		Human parvovirus B19 isolate L251282, complete genome	5110	complete	China	oronasopharynx	2025-02-24	2025-09-07	ssDNA(+/-)
PX246266.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		L252336		Human parvovirus B19 isolate L252336, complete genome	5110	complete	China	oronasopharynx	2025-05-26	2025-09-07	ssDNA(+/-)
PX246267.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		L252621		Human parvovirus B19 isolate L252621, complete genome	5107	complete	China	oronasopharynx	2025-07-10	2025-09-07	ssDNA(+/-)
PV555125.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		BH01Par01		Human parvovirus B19 isolate BH01Par01, complete genome	5596	complete	China	blood	2019-09-01	2025-04-29	ssDNA(+/-)
PV555126.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		BH02Par01		Human parvovirus B19 isolate BH02Par01, complete genome	5596	complete	China	blood	2019-09-01	2025-04-29	ssDNA(+/-)
PV555127.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		BH04Par01		Human parvovirus B19 isolate BH04Par01, complete genome	5596	complete	China	blood	2019-09-01	2025-04-29	ssDNA(+/-)
PV555128.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		BH07Par01		Human parvovirus B19 isolate BH07Par01, complete genome	5597	complete	China	blood	2019-09-01	2025-04-29	ssDNA(+/-)
PV555129.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		BH09Par01		Human parvovirus B19 isolate BH09Par01, complete genome	5596	complete	China	blood	2019-09-01	2025-04-29	ssDNA(+/-)
PV555130.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		SH30Par01		Human parvovirus B19 isolate SH30Par01, complete genome	5596	complete	China		2019-09-01	2025-04-29	ssDNA(+/-)
PV555131.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		SH31Par01		Human parvovirus B19 isolate SH31Par01, complete genome	5597	complete	China		2019-09-01	2025-04-29	ssDNA(+/-)
PV031965.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU1		MAG: Human parvovirus B19 isolate ICU1, complete genome	5597	complete	France	blood	2023-08-28	2025-02-03	ssDNA(+/-)
PV031966.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU2		MAG: Human parvovirus B19 isolate ICU2, complete genome	5597	complete	France	bone	2023-09-05	2025-02-03	ssDNA(+/-)
PV031967.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU3		MAG: Human parvovirus B19 isolate ICU3, complete genome	5597	complete	France	blood	2023-05-19	2025-02-03	ssDNA(+/-)
