Sample,Pquery,Multiplicity,EDPL
epa_result,NC_000883.2_XX-000096-54E1-FBD01-01-01-DB01-03-64.p2058_consensus,1,0
epa_result,ON023019.1_MODAD_2BF1.p1894_consensus,1,0
epa_result,ON023025.1_SEVAD_2BO16.p1894_consensus,1,0
epa_result,ON023025.1_XX-000075-54E1-FBD01-01-01-DB01-02-80.p2058_consensus,1,0
epa_result,ON023025.1_XX-000098-54E1-FBD01-01-01-DB01-03-69.p2058_consensus,1,0.000161968
epa_result,ON023025.1_SEVAD_2BF7.p1894_consensus,1,0
epa_result,ON023019.1_MODAD_1BH2.p1894_consensus,1,0.000535034
epa_result,ON023019.1_XX-000074-54E1-FBD01-01-01-DB01-02-78.p2058_consensus,1,0
epa_result,ON023025.1_SEVAD_1BF7.p1894_consensus,1,0
epa_result,NC_000883.2_XX-000077-54E1-ITD01-01-01-DB01-03-01.p2058_consensus,1,0
epa_result,ON023025.1_SEVAD_2BF6.p1894_consensus,1,0
epa_result,ON023019.1_XX-000071-54E1-FBD01-01-01-DB01-02-71.p2058_consensus,1,0
epa_result,ON023025.1_XX-000083-54E1-FBD01-01-01-DB01-03-19.p2058_consensus,1,0
epa_result,ON023025.1_SEVAD_B5-A.p1733_consensus,1,0
epa_result,ON023019.1_XX-000098-54E1-ITD01-01-01-DB01-04-05.p2058_consensus,1,0
epa_result,ON023025.1_XX-000079-54E1-ITD01-01-01-DB01-03-09.p2058_consensus,1,0
epa_result,ON023025.1_XX-000079-54E1-FBD01-01-01-DB01-03-08.p2058_consensus,1,0
epa_result,ON023025.1_MODAD_1BF2.p1894_consensus,1,0.00114887
epa_result,ON023025.1_XX-000101-54E1-ITD01-01-01-DB01-03-78.p2058_consensus,1,0
epa_result,ON023025.1_XX-000071-54E1-ITD01-01-01-DB01-02-76.p2058_consensus,1,0
epa_result,ON023025.1_MODAD_1BF3.p1894_consensus,1,0
epa_result,NC_000883.2_XX-000081-54E1-OBD01-01-01-DB01-03-13.p2058_consensus,1,0
epa_result,ON023019.1_H-HBPKA016.p1849_consensus,1,0
epa_result,ON023025.1_XX-000079-54E1-OBD01-01-01-DB01-03-10.p2058_consensus,1,0
epa_result,ON023025.1_H-HCTYIA003.p1849_consensus,1,0.000550945
epa_result,ON023019.1_XX-000093-54E1-FBD01-01-01-DB01-03-67.p2058_consensus,1,0
epa_result,ON023021.1_SEVAD_2BH17.p1894_consensus,1,0
epa_result,ON023019.1_SEVAD_2BF12.p1894_consensus,1,0.000655522
epa_result,ON023025.1_MODAD_2BF2.p1894_consensus,1,0
