sample_ID	filtered_reads_in_sample	kingdom	phylum	tclass	order	family	genus	species	subspecies	read_count	RPKMF	avg_read_identity	consensus_ref_identity	assembly_list
HELTHY_B1-B.p1733	20236522	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Betatorquevirus	s__TTV-like mini virus	t__unclassified_TTV-like mini virus	33	0.5701800703926069	0.9431714677431395	0.9449152542372882	set:AB026930
HELTHY_B1-B.p1733	20236522	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__unclassified_Torque teno virus	59	0.7756107368823791	0.924208884207305	0.9364548494983278	acc:MT501648.1
HELTHY_B1-B.p1733	20236522	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Cytomegalovirus	s__Cytomegalovirus humanbeta5	t__Human betaherpesvirus 5	20	0.004194054310337761	0.9990066225165564	1.0	GCF_000845245.1
HELTHY_B1-B.p1733	20236522	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Betapapillomavirus	s__Betapapillomavirus 1	t__human papillomavirus 118	10	0.06504621047873185	0.9827814569536425	0.9834437086092715	set:GQ246951
HELTHY_B1-B.p1733	20236522	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	6	0.05298313734884838	0.9801324503311258	0.984375	GCF_000839645.1
SEVAD_B1-A.p1733	25941000	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Anellovirus D_HF7_66	t__Anellovirus D_HF7_66	102	1.0377407066275586	0.9640306453707317	0.9648397104446742	acc:OR148955.1
SEVAD_B1-A.p1733	25941000	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__Torque teno virus	4546	47.04532148196902	0.9565814673059145	0.9530145530145531	GCF_000893775.1
SEVAD_B1-A.p1733	25941000	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6b	t__Human betaherpesvirus 6B	108	0.02568127137599349	0.9926834166924388	0.9961685823754789	GCF_000846365.1
HELTHY_B1-C.p1733	11540880	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6a	t__Human betaherpesvirus 6A	3	0.0016309999838118685	0.9735099337748344	0.9761904761904762	GCF_000845685.2
HELTHY_B1-C.p1733	11540880	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Varicellovirus	s__Varicellovirus felidalpha1	t__Felid alphaherpesvirus 1	132	0.08422573899628556	0.9965884005619106	0.9992810927390366	GCF_000885455.1
HELTHY_B1-C.p1733	11540880	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Ambidensovirus	s__Lepidopteran ambidensovirus 1	t__Junonia coenia densovirus	1	0.014666300802300157	0.9668874172185431	0.9667774086378738	GCF_000861805.1
HELTHY_B1-A.p1733	19070850	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Alphatorquevirus	s__Alphatorquevirus homin10	t__Torque teno virus 10	22	0.3062365407691847	0.9614689945815776	0.9665178571428571	set:GU797360
HELTHY_B1-A.p1733	19070850	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Betatorquevirus	s__TTV-like mini virus	t__unclassified_TTV-like mini virus	87	1.5615844453227623	0.9258850779812822	0.9235480345230468	acc:MN771102.1,acc:MN769153.1
HELTHY_B1-A.p1733	19070850	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Betatorquevirus	s__unclassified_Betatorquevirus	t__unclassified_Betatorquevirus	75	1.410080161600801	0.8619967627113087	0.8683132246903966	acc:MN770118.1,acc:MN769382.1,acc:MN769401.1
HELTHY_B1-A.p1733	19070850	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6a	t__Human betaherpesvirus 6A	56	0.018424240926471273	0.9905392620624411	0.9922660479505027	GCF_000845685.2
HELTHY_B1-A.p1733	19070850	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Gammapapillomavirus	s__Gammapapillomavirus 19	t__Gammapapillomavirus 19	13	0.09352018382623718	0.9826795720835458	0.9900662251655629	set:MF588732
HELTHY_B1-A.p1733	19070850	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Dependoparvovirus	s__Dependoparvovirus primate1	t__adeno-associated virus 2	61	0.6836073752523717	0.9731399236494084	0.9726339794754846	GCF_000838645.1
HELTHY_B1-A.p1733	19070850	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	10	0.09370272995950994	0.9714829067478075	0.9540757749712974	GCF_000839645.1
SEVAD_B7-A.p1733	25650820	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Alphatorquevirus	s__Torque teno virus 16	t__Torque teno virus 16	24	0.2450609227968609	0.9693708609271526	0.9701986754966887	GCF_000889855.1
SEVAD_B7-A.p1733	25650820	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Dependoparvovirus	s__Adeno-associated virus	t__Adeno-associated virus	166	1.3831006637598566	0.9776190856139796	0.9818376068376068	set:MK139253
SEVAD_B7-A.p1733	25650820	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	48	0.331318202279892	0.9870309050772629	0.987719298245614	acc:ON023019.1
SEVAD_B7-A.p1733	25650820	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Sepolyvirales	f__Polyomaviridae	g__Alphapolyomavirus	s__Alphapolyomavirus quintihominis	t__Merkel cell polyomavirus	68	0.4921082932693847	0.9965913517724971	1.0	GCF_000874865.1
SEVAD_B9-C.p1733	28654206	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Simplexvirus	s__Simplexvirus humanalpha1	t__Human alphaherpesvirus 1	36	0.008253472304052467	0.9918224262002163	1.0	GCF_000859985.2
